year,month,beer,dlogbeer,obs317,obs318
1974,12,194.3,0.0648473696,0,0
1975,1,161.4,-0.185517601,0,0
1975,2,169.4,0.0483770264,0,0
1975,3,168.8,-0.0035482,0,0
1975,4,158.1,-0.065486838,0,0
1975,5,158.5,0.0025268491,0,0
1975,6,135.3,-0.158260058,0,0
1975,7,149.3,0.0984631694,0,0
1975,8,143.4,-0.040319776,0,0
1975,9,142.2,-0.008403411,0,0
1975,10,188.4,0.2813328448,0,0
1975,11,166.2,-0.12537548,0,0
1975,12,199.2,0.1811174627,0,0
1976,1,182.7,-0.086463882,0,0
1976,2,145.2,-0.229733361,0,0
1976,3,182.1,0.2264438843,0,0
1976,4,158.7,-0.137540359,0,0
1976,5,141.6,-0.114009446,0,0
1976,6,132.6,-0.065669104,0,0
1976,7,139.6,0.0514441126,0,0
1976,8,147,0.0516513965,0,0
1976,9,166.6,0.125163143,0,0
1976,10,157,-0.059349924,0,0
1976,11,180.4,0.1389308023,0,0
1976,12,210.2,0.1528828508,0,0
1977,1,159.8,-0.274136425,0,0
1977,2,157.8,-0.012594625,0,0
1977,3,168.2,0.0638253391,0,0
1977,4,158.4,-0.060030268,0,0
1977,5,152,-0.041242959,0,0
1977,6,142.2,-0.066646003,0,0
1977,7,137.2,-0.035794802,0,0
1977,8,152.6,0.1063804036,0,0
1977,9,166.8,0.0889753711,0,0
1977,10,165.6,-0.007220248,0,0
1977,11,198.6,0.1817175097,0,0
1977,12,201.5,0.0144966298,0,0
1978,1,170.7,-0.165881752,0,0
1978,2,164.4,-0.037605147,0,0
1978,3,179.7,0.0889863112,0,0
1978,4,157,-0.135042988,0,0
1978,5,168,0.0677181741,0,0
1978,6,139.3,-0.187334099,0,0
1978,7,138.6,-0.005037794,0,0
1978,8,153.4,0.1014568022,0,0
1978,9,138.9,-0.099294639,0,0
1978,10,172.1,0.2143214535,0,0
1978,11,198.4,0.1422094916,0,0
1978,12,217.8,0.0932920156,0,0
1979,1,173.7,-0.226247537,0,0
1979,2,153.8,-0.121676616,0,0
1979,3,175.6,0.1325556241,0,0
1979,4,147.1,-0.177096054,0,0
1979,5,160.3,0.085934432,0,0
1979,6,135.2,-0.170291896,0,0
1979,7,148.8,0.0958479588,0,0
1979,8,151,0.0146767144,0,0
1979,9,148.2,-0.018717124,0,0
1979,10,182.2,0.206542272,0,0
1979,11,189.2,0.0376996718,0,0
1979,12,183.1,-0.032772205,0,0
1980,1,170,-0.074234015,0,0
1980,2,158.4,-0.070674958,0,0
1980,3,176.1,0.1059285361,0,0
1980,4,156.2,-0.119914778,0,0
1980,5,153.2,-0.01939298,0,0
1980,6,117.9,-0.26190745,0,0
1980,7,149.8,0.2394642635,0,0
1980,8,156.6,0.0443937125,0,0
1980,9,166.7,0.0625010062,0,0
1980,10,156.8,-0.061224682,0,0
1980,11,158.6,0.0114142013,0,0
1980,12,210.8,0.2845245075,0,0
1981,1,203.6,-0.034752532,0,0
1981,2,175.2,-0.150229106,0,0
1981,3,168.7,-0.037806189,0,0
1981,4,155.9,-0.078907213,0,0
1981,5,147.3,-0.056743453,0,0
1981,6,137,-0.072490398,0,0
1981,7,141.1,0.029487933,0,0
1981,8,167.4,0.1709172992,0,0
1981,9,160.2,-0.043963123,0,0
1981,10,191.9,0.1805513684,0,0
1981,11,174.4,-0.095622892,0,0
1981,12,208.2,0.1771476447,0,0
1982,1,159.4,-0.26708239,0,0
1982,2,161.1,0.0106085238,0,0
1982,3,172.1,0.066050413,0,0
1982,4,158.4,-0.082952224,0,0
1982,5,114.6,-0.323675675,1,0
1982,6,159.6,0.3312228807,0,1
1982,7,159.7,0.0006263702,0,0
1982,8,159.4,-0.001880289,0,0
1982,9,160.7,0.0081225064,0,0
1982,10,165.5,0.0294319221,0,0
1982,11,205,0.2140387843,0,0
1982,12,205.2,0.0009751342,0,0
1983,1,141.6,-0.370978932,0,0
1983,2,148.1,0.04488154,0,0
1983,3,184.9,0.2219274171,0,0
1983,4,132.5,-0.333232493,0,0
1983,5,137.3,0.0355856673,0,0
1983,6,135.5,-0.013196672,0,0
1983,7,121.7,-0.10741264,0,0
1983,8,166.1,0.3110310166,0,0
1983,9,146.8,-0.1235189,0,0
1983,10,162.8,0.1034513374,0,0
1983,11,186.8,0.1375160722,0,0
1983,12,185.5,-0.006983644,0,0
1984,1,151.5,-0.202469257,0,0
1984,2,158.1,0.0426421193,0,0
1984,3,143,-0.100383114,0,0
1984,4,151.2,0.0557588335,0,0
1984,5,147.6,-0.024097552,0,0
1984,6,130.7,-0.121601292,0,0
1984,7,137.5,0.0507192965,0,0
1984,8,146.1,0.0606674017,0,0
1984,9,133.6,-0.089441058,0,0
1984,10,167.9,0.228518303,0,0
1984,11,181.9,0.0800885214,0,0
1984,12,202,0.1048106119,0,0
1985,1,166.5,-0.193272388,0,0
1985,2,151.3,-0.095730689,0,0
1985,3,146.2,-0.034289073,0,0
1985,4,148.3,0.0142617018,0,0
1985,5,144.7,-0.024574616,0,0
1985,6,123.6,-0.157612089,0,0
1985,7,151.6,0.2041949282,0,0
1985,8,133.9,-0.124152221,0,0
1985,9,137.4,0.0258031271,0,0
1985,10,181.6,0.2789100864,0,0
1985,11,182,0.0022002209,0,0
1985,12,190,0.0430173851,0,0
1986,1,161.2,-0.164378242,0,0
1986,2,155.5,-0.036000098,0,0
1986,3,141.9,-0.091523147,0,0
1986,4,164.6,0.1483957041,0,0
1986,5,136.2,-0.189393895,0,0
1986,6,126.8,-0.071513352,0,0
1986,7,152.5,0.184553554,0,0
1986,8,126.6,-0.186132086,0,0
1986,9,150.1,0.1702692289,0,0
1986,10,186.3,0.216056539,0,0
1986,11,147.5,-0.233530102,0,0
1986,12,200.4,0.3064871934,0,0
1987,1,177.2,-0.123036331,0,0
1987,2,127.4,-0.329947295,0,0
1987,3,177.1,0.3293828017,0,0
1987,4,154.4,-0.137167907,0,0
1987,5,135.2,-0.132791474,0,0
1987,6,126.4,-0.067303682,0,0
1987,7,147.3,0.1530198418,0,0
1987,8,140.6,-0.046552344,0,0
1987,9,152.3,0.0799332805,0,0
1987,10,151.2,-0.007248796,0,0
1987,11,172.2,0.1300531282,0,0
1987,12,215.3,0.2233758124,0,0
1988,1,154.1,-0.334430662,0,0
1988,2,159.3,0.0331874746,0,0
1988,3,160.4,0.0068814785,0,0
1988,4,151.9,-0.054448286,0,0
1988,5,148.4,-0.023311079,0,0
1988,6,139.6,-0.06113014,0,0
1988,7,148.2,0.0597815225,0,0
1988,8,153.5,0.0351378542,0,0
1988,9,145.1,-0.056277407,0,0
1988,10,183.7,0.2358808323,0,0
1988,11,210.5,0.1361816609,0,0
1988,12,203.3,-0.034802932,0,0
1989,1,153.3,-0.282285935,0,0
1989,2,144.3,-0.06050232,0,0
1989,3,169.6,0.1615482576,0,0
1989,4,143.7,-0.16571493,0,0
1989,5,160.1,0.1080708269,0,0
1989,6,135.6,-0.166089244,0,0
1989,7,141.8,0.0447082386,0,0
1989,8,159.9,0.1201310057,0,0
1989,9,145.7,-0.092998907,0,0
1989,10,183.5,0.2306649543,0,0
1989,11,198.2,0.0770619544,0,0
1989,12,186.8,-0.059238096,0,0
1990,1,172,-0.082544049,0,0
1990,2,150.6,-0.132867161,0,0
1990,3,163.3,0.0809616846,0,0
1990,4,153.7,-0.060586349,0,0
1990,5,152.9,-0.005218538,0,0
1990,6,135.5,-0.120812473,0,0
1990,7,148.5,0.0916133179,0,0
1990,8,148.4,-0.000673628,0,0
1990,9,133.6,-0.10506107,0,0
1990,10,194.1,0.3735232291,0,0
1990,11,208.6,0.0720450524,0,0
1990,12,197.3,-0.05569313,0,0
1991,1,164.4,-0.18242293,0,0
1991,2,148.1,-0.104414761,0,0
1991,3,152,0.0259927996,0,0
1991,4,144.1,-0.053373018,0,0
1991,5,155,0.0729176139,0,0
1991,6,124.5,-0.219119401,0,0
1991,7,153,0.2061322055,0,0
1991,8,146,-0.0468313,0,0
1991,9,138,-0.056352937,0,0
1991,10,190,0.319770387,0,0
1991,11,192,0.0104712999,0,0
1991,12,192,0,0,0
1992,1,147,-0.267062785,0,0
1992,2,133,-0.100083459,0,0
1992,3,163,0.2034010726,0,0
1992,4,150,-0.083114907,0,0
1992,5,129,-0.15082289,0,0
1992,6,131,0.0153849188,0,0
1992,7,145,0.1015364192,0,0
1992,8,137,-0.056752817,0,0
1992,9,138,0.0072727593,0,0
1992,10,168,0.1967102942,0,0
1992,11,176,0.0465200156,0,0
1992,12,188,0.0659579678,0,0
1993,1,139,-0.30196803,0,0
1993,2,143,0.0283706971,0,0
1993,3,150,0.0477906638,0,0
1993,4,154,0.0263173083,0,0
1993,5,137,-0.116971677,0,0
1993,6,129,-0.060168521,0,0
1993,7,128,-0.00778214,0,0
1993,8,140,0.0896121587,0,0
1993,9,143,0.0212022077,0,0
1993,10,151,0.0544352066,0,0
1993,11,177,0.1588698958,0,0
1993,12,184,0.038786025,0,0
1994,1,151,-0.197655921,0,0
1994,2,134,-0.119440037,0,0
1994,3,164,0.2020266279,0,0
1994,4,126,-0.263584521,0,0
1994,5,131,0.0389154162,0,0
1994,6,125,-0.046883586,0,0
1994,7,127,0.0158733492,0,0
1994,8,143,0.1186575438,0,0
1994,9,143,0,0,0
1994,10,160,0.112329185,0,0
1994,11,190,0.1718502569,0,0
1994,12,182,-0.043017385,0,0
1995,1,138,-0.276753002,0,0
1995,2,136,-0.014598799,0,0
1995,3,152,0.1112256351,0,0
1995,4,127,-0.179693434,0,0
1995,5,151,0.1730927504,0,0
1995,6,130,-0.149745386,0,0
1995,7,119,-0.088410957,0,0
1995,8,153,0.2513144283,0,0
