gasdemand,loggasdemand,year,month,obs61,obs125,obs177,c348,s348
127392,11.755024226,1966,4,0,0,0,-0.947098305,0.3209436098
154166,11.945785223,1966,5,0,0,0,0.2850192625,-0.958521789
160227,11.984346839,1966,6,0,0,0,0.6178596131,0.7862884321
165869,12.018953599,1966,7,0,0,0,-0.998736957,0.0502443182
173522,12.064059671,1966,8,0,0,0,0.535826795,-0.844327926
155828,11.956508114,1966,9,0,0,0,0.3797790955,0.9250772068
153771,11.943219762,1966,10,0,0,0,-0.974526873,-0.224270761
143963,11.877311601,1966,11,0,0,0,0.7459411454,-0.666011867
143898,11.876859994,1966,12,0,0,0,0.1128563849,0.9936113105
124046,11.728407744,1967,1,0,0,0,-0.87630668,-0.481753674
121260,11.70569228,1967,2,0,0,0,0.8994052516,-0.437115767
138870,11.841293523,1967,3,0,0,0,-0.162637165,0.9866859442
129782,11.773611399,1967,4,0,0,0,-0.711535677,-0.70264997
162312,11.997275688,1967,5,0,0,0,0.9845643345,-0.175023059
167211,12.027011767,1967,6,0,0,0,-0.425779292,0.9048270525
172897,12.06045132,1967,7,0,0,0,-0.492727342,-0.870183755
189689,12.153141168,1967,8,0,0,0,0.994951017,0.1003617149
166496,12.022726564,1967,9,0,0,0,-0.656585756,0.7542513807
160754,11.987630525,1967,10,0,0,0,-0.236498997,-0.971631733
155582,11.954928203,1967,11,0,0,0,0.9297764859,0.3681245527
145936,11.890923448,1967,12,0,0,0,-0.83752804,0.5463943467
139625,11.846715536,1968,1,0,0,0,0.0376901827,-0.999289473
137361,11.830367776,1968,2,0,0,0,0.7939903986,0.6079302977
138963,11.84196299,1968,3,0,0,0,-0.954864545,0.2970415816
155301,11.953120448,1968,4,0,0,0,0.3090169944,-0.951056516
172026,12.055400907,1968,5,0,0,0,0.5979049831,0.8015669849
165004,12.013724995,1968,6,0,0,0,-0.999684189,0.0251300954
185861,12.132754361,1968,7,0,0,0,0.5568756165,-0.830595899
190270,12.156199395,1968,8,0,0,0,0.3564118787,0.9343289425
163903,12.007030068,1968,9,0,0,0,-0.968583161,-0.248689887
174270,12.0683611,1968,10,0,0,0,0.762442511,-0.647055962
160272,11.984627651,1968,11,0,0,0,0.0878511966,0.9961336091
165614,12.017415058,1968,12,0,0,0,-0.863923417,-0.503623202
146182,11.8926077,1969,1,0,0,0,0.9101059707,-0.414375581
137728,11.833036005,1969,2,0,0,0,-0.187381315,0.9822872507
148932,11.911245105,1969,3,0,0,0,-0.693653306,-0.720309025
156751,11.962413838,1969,4,0,0,0,0.9886517447,-0.150225589
177998,12.089527593,1969,5,0,0,0,-0.448383216,0.8938414242
174559,12.070018072,1969,6,0,0,0,-0.470703932,-0.882291226
198079,12.19642122,1969,7,0,0,0,0.9921147013,0.1253332336
189073,12.149888463,1969,8,0,0,0,-0.675332808,0.7375131174
175702,12.076544657,1969,9,0,0,0,-0.21200711,-0.977268124
180097,12.101250874,1969,10,0,0,0,0.9202318474,0.3913736668
155202,11.952482773,1969,11,0,0,0,-0.850994482,0.52517463
174508,12.069725865,1969,12,0,0,0,0.0627905195,-0.998026728
154277,11.946504967,1970,1,0,0,0,0.7784623016,0.6276913613
144998,11.884475228,1970,2,0,0,0,-0.962027672,0.2729519355
159644,11.980701615,1970,3,0,0,0,0.3328195445,-0.942990536
168646,12.035557122,1970,4,0,0,0,0.5775727034,0.8163392507
166273,12.021386295,1970,5,0,1,0,-1,2.8418e-14
190176,12.155705238,1970,6,0,0,0,0.5775727034,-0.816339251
205541,12.233400806,1970,7,0,0,0,0.3328195445,0.9429905359
193657,12.173843832,1970,8,0,0,0,-0.962027672,-0.272951936
182617,12.115146342,1970,9,0,0,0,0.7784623016,-0.627691361
189614,12.152745706,1970,10,0,0,0,0.0627905195,0.9980267284
174176,12.067821561,1970,11,0,0,0,-0.850994482,-0.52517463
184416,12.124949354,1970,12,0,0,0,0.9202318474,-0.391373667
158167,11.971406716,1971,1,0,0,0,-0.21200711,0.9772681236
156261,11.959282965,1971,2,0,0,0,-0.675332808,-0.737513117
176353,12.080242947,1971,3,0,0,0,0.9921147013,-0.125333234
175720,12.076647098,1971,4,0,0,0,-0.470703932,0.8822912264
193939,12.175298956,1971,5,0,0,0,-0.448383216,-0.893841424
201269,12.212397601,1971,6,0,0,0,0.9886517447,0.1502255891
218960,12.296644344,1971,7,0,0,0,-0.693653306,0.7203090249
209861,12.254200686,1971,8,0,0,0,-0.187381315,-0.982287251
198688,12.199491034,1971,9,0,0,0,0.9101059707,0.414375581
190474,12.157270981,1971,10,0,0,0,-0.863923417,0.5036232016
194502,12.178197725,1971,11,0,0,0,0.0878511966,-0.996133609
190755,12.158745161,1971,12,0,0,0,0.762442511,0.6470559616
166286,12.021464476,1972,1,0,0,0,-0.968583161,0.2486898872
170699,12.047657051,1972,2,0,0,0,0.3564118787,-0.934328942
181468,12.108834609,1972,3,0,0,0,0.5568756165,0.8305958992
174241,12.068194677,1972,4,0,0,0,-0.999684189,-0.025130095
210802,12.258674583,1972,5,0,0,0,0.5979049831,-0.801566985
212262,12.26557664,1972,6,0,0,0,0.3090169944,0.9510565163
218099,12.292704367,1972,7,0,0,0,-0.954864545,-0.297041582
229001,12.341481649,1972,8,0,0,0,0.7939903986,-0.607930298
203200,12.221945995,1972,9,0,0,0,0.0376901827,0.9992894726
212557,12.266965467,1972,10,0,0,0,-0.83752804,-0.546394347
197095,12.191441125,1972,11,0,0,0,0.9297764859,-0.368124553
193693,12.17402971,1972,12,0,0,0,-0.236498997,0.9716317329
188992,12.149459965,1973,1,0,0,0,-0.656585756,-0.754251381
175347,12.074522147,1973,2,0,0,0,0.994951017,-0.100361715
196265,12.187221066,1973,3,0,0,0,-0.492727342,0.8701837547
203526,12.22354904,1973,4,0,0,0,-0.425779292,-0.904827052
227443,12.334654937,1973,5,0,0,0,0.9845643345,0.175023059
233038,12.358956809,1973,6,0,0,0,-0.711535677,0.7026499698
234119,12.363584812,1973,7,0,0,0,-0.162637165,-0.986685944
255133,12.449540257,1973,8,0,0,0,0.8994052516,0.4371157667
216478,12.285244205,1973,9,0,0,0,-0.87630668,0.4817536741
232868,12.358227048,1973,10,0,0,0,0.1128563849,-0.993611311
221616,12.308701433,1973,11,0,0,0,0.7459411454,0.6660118674
209893,12.254353156,1973,12,0,0,0,-0.974526873,0.2242707609
194784,12.179646531,1974,1,0,0,0,0.3797790955,-0.925077207
189756,12.153494315,1974,2,0,0,0,0.535826795,0.8443279255
193522,12.17314648,1974,3,0,0,0,-0.998736957,-0.050244318
212870,12.26843693,1974,4,0,0,0,0.6178596131,-0.786288432
248565,12.42345966,1974,5,0,0,0,0.2850192625,0.958521789
221532,12.308322328,1974,6,0,0,0,-0.947098305,-0.32094361
252642,12.439728746,1974,7,0,0,0,0.8090169944,-0.587785252
255007,12.449046275,1974,8,0,0,0,0.0125660399,0.9999210442
206826,12.239633139,1974,9,0,0,1,-0.823532598,-0.567268949
233231,12.359784658,1974,10,0,0,0,0.9387338577,-0.344642923
212678,12.267534564,1974,11,0,0,0,-0.260841506,0.9653816388
217173,12.28844955,1974,12,0,0,0,-0.63742399,-0.770513243
199024,12.201180699,1975,1,0,0,0,0.9971589003,-0.075326806
191813,12.164276218,1975,2,0,0,0,-0.514439534,0.8575266562
195997,12.185854632,1975,3,0,0,0,-0.402906436,-0.915241173
208684,12.248576425,1975,4,0,0,0,0.9798550524,0.1997099805
244113,12.405386512,1975,5,0,0,0,-0.728968627,0.6845471059
243108,12.401261068,1975,6,0,0,0,-0.137790291,-0.990461426
255918,12.45261236,1975,7,0,0,0,0.8881364488,0.4595798606
244642,12.407551196,1975,8,0,0,0,-0.888136449,0.4595798606
237579,12.378255479,1975,9,0,0,0,0.1377902907,-0.990461426
237579,12.378255479,1975,10,0,0,0,0.7289686274,0.6845471059
217775,12.291217699,1975,11,0,0,0,-0.979855052,0.1997099805
227621,12.335437244,1975,12,0,0,0,0.4029064357,-0.915241173
