year,month,time,beer,c348,s348,c432,s432
1990,3,39,17.968,-0.899405252,-0.437115767,0.5775727034,-0.816339251
1990,4,40,17.477,0.87630668,-0.481753674,-0.187381315,0.9822872507
1990,5,41,18.101,-0.112856385,0.9936113105,-0.236498997,-0.971631733
1990,6,42,18.579,-0.745941145,-0.666011867,0.6178596131,0.7862884321
1990,7,43,18.246,0.9745268728,-0.224270761,-0.888136449,-0.459579861
1990,8,44,18.963,-0.379779096,0.9250772068,0.9987369566,0.0502443182
1990,9,45,16.086,-0.535826795,-0.844327926,-0.929776486,0.3681245527
1990,10,46,16.618,0.9987369566,0.0502443182,0.6936533058,-0.720309025
1990,11,47,15.442,-0.617859613,0.7862884321,-0.332819545,0.9429905359
1990,12,48,13.97,-0.285019262,-0.958521789,-0.087851197,-0.996133609
1991,1,49,16.278,0.947098305,0.3209436098,0.4927273415,0.8701837547
1991,2,50,15.174,-0.809016994,0.5877852523,-0.809016994,-0.587785252
1991,3,51,16.297,-0.01256604,-0.999921044,0.9798550524,0.1997099805
1991,4,52,17.23,0.8235325976,0.5672689491,-0.974526873,0.2242707609
1991,5,53,18.902,-0.938733858,0.3446429232,0.7939903986,-0.607930298
1991,6,54,19.166,0.2608415063,-0.965381639,-0.470703932,0.8822912264
1991,7,55,19.883,0.6374239897,0.7705132428,0.0627905195,-0.998026728
1991,8,56,18.629,-0.9971589,0.0753268055,0.3564118787,0.9343289425
1991,9,57,16.116,0.5144395338,-0.857526656,-0.711535677,-0.70264997
1991,10,58,16.666,0.4029064357,0.9152411726,0.9387338577,0.3446429232
1991,11,59,14.396,-0.979855052,-0.199709981,-0.9971589,0.0753268055
1991,12,60,13.643,0.7289686274,-0.684547106,0.87630668,-0.481753674
1992,1,61,15.654,0.1377902907,0.9904614257,-0.597904983,0.8015669849
1992,2,62,16.103,-0.888136449,-0.459579861,0.2120071099,-0.977268124
1992,3,63,18.065,0.8881364488,-0.459579861,0.2120071099,0.9772681236
1992,4,64,18.004,-0.137790291,0.9904614257,-0.597904983,-0.801566985
1992,5,65,18.898,-0.728968627,-0.684547106,0.87630668,0.4817536741
1992,6,66,18.951,0.9798550524,-0.199709981,-0.9971589,-0.075326806
1992,7,67,18.348,-0.402906436,0.9152411726,0.9387338577,-0.344642923
1992,8,68,17.569,-0.514439534,-0.857526656,-0.711535677,0.7026499698
1992,9,69,15.702,0.9971589003,0.0753268055,0.3564118787,-0.934328942
1992,10,70,16.177,-0.63742399,0.7705132428,0.0627905195,0.9980267284
1992,11,71,14.444,-0.260841506,-0.965381639,-0.470703932,-0.882291226
1992,12,72,14.325,0.9387338577,0.3446429232,0.7939903986,0.6079302977
1993,1,73,15.361,-0.823532598,0.5672689491,-0.974526873,-0.224270761
1993,2,74,15.786,0.0125660399,-0.999921044,0.9798550524,-0.199709981
1993,3,75,17.442,0.8090169944,0.5877852523,-0.809016994,0.5877852523
1993,4,76,17.468,-0.947098305,0.3209436098,0.4927273415,-0.870183755
1993,5,77,18.922,0.2850192625,-0.958521789,-0.087851197,0.9961336091
1993,6,78,19.159,0.6178596131,0.7862884321,-0.332819545,-0.942990536
1993,7,79,18.53,-0.998736957,0.0502443182,0.6936533058,0.7203090249
1993,8,80,18.514,0.535826795,-0.844327926,-0.929776486,-0.368124553
1993,9,81,16.148,0.3797790955,0.9250772068,0.9987369566,-0.050244318
1993,10,82,15.861,-0.974526873,-0.224270761,-0.888136449,0.4595798606
1993,11,83,14.92,0.7459411454,-0.666011867,0.6178596131,-0.786288432
1993,12,84,14.527,0.1128563849,0.9936113105,-0.236498997,0.9716317329
1994,1,85,15.893,-0.87630668,-0.481753674,-0.187381315,-0.982287251
1994,2,86,14.326,0.8994052516,-0.437115767,0.5775727034,0.8163392507
1994,3,87,17.703,-0.162637165,0.9866859442,-0.863923417,-0.503623202
1994,4,88,17.793,-0.711535677,-0.70264997,0.994951017,0.1003617149
1994,5,89,19.517,0.9845643345,-0.175023059,-0.947098305,0.3209436098
1994,6,90,19.265,-0.425779292,0.9048270525,0.7289686274,-0.684547106
1994,7,91,18.823,-0.492727342,-0.870183755,-0.379779096,0.9250772068
1994,8,92,18.533,0.994951017,0.1003617149,-0.037690183,-0.999289473
1994,9,93,15.611,-0.656585756,0.7542513807,0.4483832161,0.8938414242
1994,10,94,15.661,-0.236498997,-0.971631733,-0.778462302,-0.627691361
1994,11,95,15.013,0.9297764859,0.3681245527,0.9685831611,0.2486898872
1994,12,96,13.868,-0.83752804,0.5463943467,-0.984564335,0.175023059
1995,1,97,16.331,0.0376901827,-0.999289473,0.8235325976,-0.567268949
1995,2,98,13.993,0.7939903986,0.6079302977,-0.514439534,0.8575266562
1995,3,99,17.455,-0.954864545,0.2970415816,0.1128563849,-0.993611311
1995,4,100,17.055,0.3090169944,-0.951056516,0.3090169944,0.9510565163
1995,5,101,18.877,0.5979049831,0.8015669849,-0.675332808,-0.737513117
1995,6,102,18.769,-0.999684189,0.0251300954,0.9202318474,0.3913736668
1995,7,103,18.727,0.5568756165,-0.830595899,-0.999684189,0.0251300954
1995,8,104,18.819,0.3564118787,0.9343289425,0.8994052516,-0.437115767
1995,9,105,15.714,-0.968583161,-0.248689887,-0.63742399,0.7705132428
1995,10,106,15.747,0.762442511,-0.647055962,0.2608415063,-0.965381639
1995,11,107,14.443,0.0878511966,0.9961336091,0.1626371652,0.9866859442
1995,12,108,13.265,-0.863923417,-0.503623202,-0.556875616,-0.830595899
1996,1,109,16.122,0.9101059707,-0.414375581,0.8509944818,0.52517463
1996,2,110,15.102,-0.187381315,0.9822872507,-0.992114701,-0.125333234
1996,3,111,18.257,-0.693653306,-0.720309025,0.9548645447,-0.297041582
1996,4,112,17.877,0.9886517447,-0.150225589,-0.745941145,0.6660118674
1996,5,113,17.733,-0.448383216,0.8938414242,0.4029064357,-0.915241173
1996,6,114,19.228,-0.470703932,-0.882291226,0.0125660399,0.9999210442
1996,7,115,18.628,0.9921147013,0.1253332336,-0.425779292,-0.904827052
1996,8,116,17.098,-0.675332808,0.7375131174,0.762442511,0.6470559616
1996,9,117,15.465,-0.21200711,-0.977268124,-0.962027672,-0.272951936
1996,10,118,16.261,0.9202318474,0.3913736668,0.9886517447,-0.150225589
1996,11,119,14.628,-0.850994482,0.52517463,-0.83752804,0.5463943467
1996,12,120,13.548,0.0627905195,-0.998026728,0.535826795,-0.844327926
1997,1,121,15.826,0.7784623016,0.6276913613,-0.137790291,0.9904614257
1997,2,122,14.919,-0.962027672,0.2729519355,-0.285019262,-0.958521789
1997,3,123,16.827,0.3328195445,-0.942990536,0.6565857558,0.7542513807
1997,4,124,17.778,0.5775727034,0.8163392507,-0.910105971,-0.414375581
1997,5,125,18.665,-1,2.8418e-14,1,-2.7437e-14
1997,6,126,18.698,0.5775727034,-0.816339251,-0.910105971,0.414375581
1997,7,127,18.819,0.3328195445,0.9429905359,0.6565857558,-0.754251381
1997,8,128,17.556,-0.962027672,-0.272951936,-0.285019262,0.958521789
1997,9,129,15.55,0.7784623016,-0.627691361,-0.137790291,-0.990461426
1997,10,130,15.86,0.0627905195,0.9980267284,0.535826795,0.8443279255
1997,11,131,14.331,-0.850994482,-0.52517463,-0.83752804,-0.546394347
1997,12,132,13.975,0.9202318474,-0.391373667,0.9886517447,0.1502255891
1998,1,133,15.608,-0.21200711,0.9772681236,-0.962027672,0.2729519355
1998,2,134,14.779,-0.675332808,-0.737513117,0.762442511,-0.647055962
1998,3,135,16.874,0.9921147013,-0.125333234,-0.425779292,0.9048270525
1998,4,136,17.269,-0.470703932,0.8822912264,0.0125660399,-0.999921044
1998,5,137,18.46,-0.448383216,-0.893841424,0.4029064357,0.9152411726
1998,6,138,19.538,0.9886517447,0.1502255891,-0.745941145,-0.666011867
1998,7,139,18.249,-0.693653306,0.7203090249,0.9548645447,0.2970415816
1998,8,140,17.096,-0.187381315,-0.982287251,-0.992114701,0.1253332336
1998,9,141,16.138,0.9101059707,0.414375581,0.8509944818,-0.52517463
1998,10,142,15.779,-0.863923417,0.5036232016,-0.556875616,0.8305958992
1998,11,143,14.507,0.0878511966,-0.996133609,0.1626371652,-0.986685944
1998,12,144,13.833,0.762442511,0.6470559616,0.2608415063,0.9653816388
1999,1,145,15.811,-0.968583161,0.2486898872,-0.63742399,-0.770513243
1999,2,146,15.392,0.3564118787,-0.934328942,0.8994052516,0.4371157667
1999,3,147,17.757,0.5568756165,0.8305958992,-0.999684189,-0.025130095
1999,4,148,17.057,-0.999684189,-0.025130095,0.9202318474,-0.391373667
1999,5,149,18.527,0.5979049831,-0.801566985,-0.675332808,0.7375131174
1999,6,150,18.395,0.3090169944,0.9510565163,0.3090169944,-0.951056516
1999,7,151,17.565,-0.954864545,-0.297041582,0.1128563849,0.9936113105
1999,8,152,17.135,0.7939903986,-0.607930298,-0.514439534,-0.857526656
1999,9,153,15.893,0.0376901827,0.9992894726,0.8235325976,0.5672689491
1999,10,154,15.819,-0.83752804,-0.546394347,-0.984564335,-0.175023059
1999,11,155,14.614,0.9297764859,-0.368124553,0.9685831611,-0.248689887
1999,12,156,14.287,-0.236498997,0.9716317329,-0.778462302,0.6276913613
2000,1,157,15.858,-0.656585756,-0.754251381,0.4483832161,-0.893841424
2000,2,158,15.325,0.994951017,-0.100361715,-0.037690183,0.9992894726
2000,3,159,17.3,-0.492727342,0.8701837547,-0.379779096,-0.925077207
2000,4,160,17.522,-0.425779292,-0.904827052,0.7289686274,0.6845471059
2000,5,161,18.632,0.9845643345,0.175023059,-0.947098305,-0.32094361
2000,6,162,18.391,-0.711535677,0.7026499698,0.994951017,-0.100361715
2000,7,163,18.202,-0.162637165,-0.986685944,-0.863923417,0.5036232016
2000,8,164,17.706,0.8994052516,0.4371157667,0.5775727034,-0.816339251
2000,9,165,15.893,-0.87630668,0.4817536741,-0.187381315,0.9822872507
2000,10,166,16.048,0.1128563849,-0.993611311,-0.236498997,-0.971631733
2000,11,167,14.814,0.7459411454,0.6660118674,0.6178596131,0.7862884321
2000,12,168,13.632,-0.974526873,0.2242707609,-0.888136449,-0.459579861
2001,1,169,16.265,0.3797790955,-0.925077207,0.9987369566,0.0502443182
2001,2,170,15.4,0.535826795,0.8443279255,-0.929776486,0.3681245527
2001,3,171,17.196,-0.998736957,-0.050244318,0.6936533058,-0.720309025
2001,4,172,16.774,0.6178596131,-0.786288432,-0.332819545,0.9429905359
2001,5,173,18.647,0.2850192625,0.958521789,-0.087851197,-0.996133609
2001,6,174,18.297,-0.947098305,-0.32094361,0.4927273415,0.8701837547
2001,7,175,18.09,0.8090169944,-0.587785252,-0.809016994,-0.587785252
2001,8,176,17.956,0.0125660399,0.9999210442,0.9798550524,0.1997099805
2001,9,177,15.7,-0.823532598,-0.567268949,-0.974526873,0.2242707609
2001,10,178,15.344,0.9387338577,-0.344642923,0.7939903986,-0.607930298
2001,11,179,15.126,-0.260841506,0.9653816388,-0.470703932,0.8822912264
2001,12,180,14.537,-0.63742399,-0.770513243,0.0627905195,-0.998026728
2002,1,181,16.976,0.9971589003,-0.075326806,0.3564118787,0.9343289425
2002,2,182,15.58,-0.514439534,0.8575266562,-0.711535677,-0.70264997
2002,3,183,17.432,-0.402906436,-0.915241173,0.9387338577,0.3446429232
2002,4,184,17.179,0.9798550524,0.1997099805,-0.9971589,0.0753268055
2002,5,185,18.512,-0.728968627,0.6845471059,0.87630668,-0.481753674
2002,6,186,18.093,-0.137790291,-0.990461426,-0.597904983,0.8015669849
2002,7,187,17.976,0.8881364488,0.4595798606,0.2120071099,-0.977268124
2002,8,188,17.824,-0.888136449,0.4595798606,0.2120071099,0.9772681236
2002,9,189,16.368,0.1377902907,-0.990461426,-0.597904983,-0.801566985
2002,10,190,16.11,0.7289686274,0.6845471059,0.87630668,0.4817536741
2002,11,191,14.374,-0.979855052,0.1997099805,-0.9971589,-0.075326806
2002,12,192,13.973,0.4029064357,-0.915241173,0.9387338577,-0.344642923
2003,1,193,15.906,0.5144395338,0.8575266562,-0.711535677,0.7026499698
2003,2,194,14.913,-0.9971589,-0.075326806,0.3564118787,-0.934328942
2003,3,195,16.571,0.6374239897,-0.770513243,0.0627905195,0.9980267284
2003,4,196,17.067,0.2608415063,0.9653816388,-0.470703932,-0.882291226
2003,5,197,17.958,-0.938733858,-0.344642923,0.7939903986,0.6079302977
2003,6,198,17.599,0.8235325976,-0.567268949,-0.974526873,-0.224270761
2003,7,199,17.881,-0.01256604,0.9999210442,0.9798550524,-0.199709981
2003,8,200,17.391,-0.809016994,-0.587785252,-0.809016994,0.5877852523
2003,9,201,15.766,0.947098305,-0.32094361,0.4927273415,-0.870183755
2003,10,202,16.132,-0.285019262,0.958521789,-0.087851197,0.9961336091
2003,11,203,14.45,-0.617859613,-0.786288432,-0.332819545,-0.942990536
2003,12,204,14.074,0.9987369566,-0.050244318,0.6936533058,0.7203090249
2004,1,205,15.59,-0.535826795,0.8443279255,-0.929776486,-0.368124553
2004,2,206,15.157,-0.379779096,-0.925077207,0.9987369566,-0.050244318
2004,3,207,17.266,0.9745268728,0.2242707609,-0.888136449,0.4595798606
2004,4,208,17.4,-0.745941145,0.6660118674,0.6178596131,-0.786288432
2004,5,209,18.293,-0.112856385,-0.993611311,-0.236498997,0.9716317329
2004,6,210,18.418,0.87630668,0.4817536741,-0.187381315,-0.982287251
2004,7,211,18.152,-0.899405252,0.4371157667,0.5775727034,0.8163392507
2004,8,212,17.48,0.1626371652,-0.986685944,-0.863923417,-0.503623202
2004,9,213,15.891,0.7115356772,0.7026499698,0.994951017,0.1003617149
2004,10,214,15.849,-0.984564335,0.175023059,-0.947098305,0.3209436098
2004,11,215,14.804,0.4257792916,-0.904827052,0.7289686274,-0.684547106
2004,12,216,13.816,0.4927273415,0.8701837547,-0.379779096,0.9250772068
2005,1,217,15.379,-0.994951017,-0.100361715,-0.037690183,-0.999289473
2005,2,218,15.145,0.6565857558,-0.754251381,0.4483832161,0.8938414242
2005,3,219,16.447,0.236498997,0.9716317329,-0.778462302,-0.627691361
2005,4,220,16.875,-0.929776486,-0.368124553,0.9685831611,0.2486898872
2005,5,221,18.257,0.83752804,-0.546394347,-0.984564335,0.175023059
2005,6,222,18.204,-0.037690183,0.9992894726,0.8235325976,-0.567268949
2005,7,223,17.877,-0.793990399,-0.607930298,-0.514439534,0.8575266562
2005,8,224,18.051,0.9548645447,-0.297041582,0.1128563849,-0.993611311
2005,9,225,15.838,-0.309016994,0.9510565163,0.3090169944,0.9510565163
2005,10,226,15.658,-0.597904983,-0.801566985,-0.675332808,-0.737513117
2005,11,227,15.038,0.9996841893,-0.025130095,0.9202318474,0.3913736668
2005,12,228,14.21,-0.556875616,0.8305958992,-0.999684189,0.0251300954
2006,1,229,15.907,-0.356411879,-0.934328942,0.8994052516,-0.437115767
2006,2,230,15.036,0.9685831611,0.2486898872,-0.63742399,0.7705132428
2006,3,231,17.999,-0.762442511,0.6470559616,0.2608415063,-0.965381639
2006,4,232,17.013,-0.087851197,-0.996133609,0.1626371652,0.9866859442
2006,5,233,18.489,0.8639234172,0.5036232016,-0.556875616,-0.830595899
2006,6,234,18.333,-0.910105971,0.414375581,0.8509944818,0.52517463
2006,7,235,17.662,0.1873813146,-0.982287251,-0.992114701,-0.125333234
2006,8,236,17.939,0.6936533058,0.7203090249,0.9548645447,-0.297041582
2006,9,237,15.975,-0.988651745,0.1502255891,-0.745941145,0.6660118674
2006,10,238,15.073,0.4483832161,-0.893841424,0.4029064357,-0.915241173
2006,11,239,14.388,0.4707039322,0.8822912264,0.0125660399,0.9999210442
2006,12,240,13.946,-0.992114701,-0.125333234,-0.425779292,-0.904827052
2007,1,241,15.88,0.6753328081,-0.737513117,0.762442511,0.6470559616
2007,2,242,15.284,0.2120071099,0.9772681236,-0.962027672,-0.272951936
2007,3,243,17.389,-0.920231847,-0.391373667,0.9886517447,-0.150225589
2007,4,244,16.778,0.8509944818,-0.52517463,-0.83752804,0.5463943467
2007,5,245,18.466,-0.06279052,0.9980267284,0.535826795,-0.844327926
2007,6,246,18.599,-0.778462302,-0.627691361,-0.137790291,0.9904614257
2007,7,247,18.253,0.9620276716,-0.272951936,-0.285019262,-0.958521789
2007,8,248,17.757,-0.332819545,0.9429905359,0.6565857558,0.7542513807
2007,9,249,16.149,-0.577572703,-0.816339251,-0.910105971,-0.414375581
2007,10,250,15.575,1,-5.6836e-14,1,-5.48741e-14
2007,11,251,14.92,-0.577572703,0.8163392507,-0.910105971,0.414375581
2007,12,252,13.934,-0.332819545,-0.942990536,0.6565857558,-0.754251381
2008,1,253,16.22,0.9620276716,0.2729519355,-0.285019262,0.958521789
2008,2,254,15.694,-0.778462302,0.6276913613,-0.137790291,-0.990461426
2008,3,255,17.386,-0.06279052,-0.998026728,0.535826795,0.8443279255
2008,4,256,17.255,0.8509944818,0.52517463,-0.83752804,-0.546394347
2008,5,257,18.27,-0.920231847,0.3913736668,0.9886517447,0.1502255891
2008,6,258,18.27,0.2120071099,-0.977268124,-0.962027672,0.2729519355
2008,7,259,18.039,0.6753328081,0.7375131174,0.762442511,-0.647055962
2008,8,260,17.8,-0.992114701,0.1253332336,-0.425779292,0.9048270525
2008,9,261,16.36,0.4707039322,-0.882291226,0.0125660399,-0.999921044
2008,10,262,15.967,0.4483832161,0.8938414242,0.4029064357,0.9152411726
2008,11,263,14.315,-0.988651745,-0.150225589,-0.745941145,-0.666011867
2008,12,264,14.017,0.6936533058,-0.720309025,0.9548645447,0.2970415816
2009,1,265,16.116,0.1873813146,0.9822872507,-0.992114701,0.1253332336
2009,2,266,15.256,-0.910105971,-0.414375581,0.8509944818,-0.52517463
2009,3,267,17.197,0.8639234172,-0.503623202,-0.556875616,0.8305958992
2009,4,268,17.248,-0.087851197,0.9961336091,0.1626371652,-0.986685944
2009,5,269,18.519,-0.762442511,-0.647055962,0.2608415063,0.9653816388
2009,6,270,18.435,0.9685831611,-0.248689887,-0.63742399,-0.770513243
2009,7,271,17.957,-0.356411879,0.9343289425,0.8994052516,0.4371157667
2009,8,272,16.79,-0.556875616,-0.830595899,-0.999684189,-0.025130095
2009,9,273,16.086,0.9996841893,0.0251300954,0.9202318474,-0.391373667
2009,10,274,15.442,-0.597904983,0.8015669849,-0.675332808,0.7375131174
2009,11,275,13.899,-0.309016994,-0.951056516,0.3090169944,-0.951056516
2009,12,276,13.883,0.9548645447,0.2970415816,0.1128563849,0.9936113105
2010,1,277,15.012,-0.793990399,0.6079302977,-0.514439534,-0.857526656
2010,2,278,14.298,-0.037690183,-0.999289473,0.8235325976,0.5672689491
2010,3,279,16.988,0.83752804,0.5463943467,-0.984564335,-0.175023059
2010,4,280,17.116,-0.929776486,0.3681245527,0.9685831611,-0.248689887
2010,5,281,18.518,0.236498997,-0.971631733,-0.778462302,0.6276913613
2010,6,282,18.668,0.6565857558,0.7542513807,0.4483832161,-0.893841424
2010,7,283,18.173,-0.994951017,0.1003617149,-0.037690183,0.9992894726
2010,8,284,17.634,0.4927273415,-0.870183755,-0.379779096,-0.925077207
2010,9,285,15.685,0.4257792916,0.9048270525,0.7289686274,0.6845471059
2010,10,286,15.106,-0.984564335,-0.175023059,-0.947098305,-0.32094361
2010,11,287,14.281,0.7115356772,-0.70264997,0.994951017,-0.100361715
2010,12,288,13.666,0.1626371652,0.9866859442,-0.863923417,0.5036232016
2011,1,289,14.901,-0.899405252,-0.437115767,0.5775727034,-0.816339251
2011,2,290,14.377,0.87630668,-0.481753674,-0.187381315,0.9822872507
2011,3,291,17.768,-0.112856385,0.9936113105,-0.236498997,-0.971631733
2011,4,292,16.678,-0.745941145,-0.666011867,0.6178596131,0.7862884321
2011,5,293,17.658,0.9745268728,-0.224270761,-0.888136449,-0.459579861
2011,6,294,18.236,-0.379779096,0.9250772068,0.9987369566,0.0502443182
2011,7,295,16.878,-0.535826795,-0.844327926,-0.929776486,0.3681245527
2011,8,296,17.028,0.9987369566,0.0502443182,0.6936533058,-0.720309025
2011,9,297,16.05,-0.617859613,0.7862884321,-0.332819545,0.9429905359
2011,10,298,14.922,-0.285019262,-0.958521789,-0.087851197,-0.996133609
2011,11,299,14.286,0.947098305,0.3209436098,0.4927273415,0.8701837547
2011,12,300,13.921,-0.809016994,0.5877852523,-0.809016994,-0.587785252
2012,1,301,15.21,-0.01256604,-0.999921044,0.9798550524,0.1997099805
2012,2,302,15.076,0.8235325976,0.5672689491,-0.974526873,0.2242707609
2012,3,303,17.264,-0.938733858,0.3446429232,0.7939903986,-0.607930298
2012,4,304,16.704,0.2608415063,-0.965381639,-0.470703932,0.8822912264
2012,5,305,18.059,0.6374239897,0.7705132428,0.0627905195,-0.998026728
2012,6,306,18.436,-0.9971589,0.0753268055,0.3564118787,0.9343289425
2012,7,307,17.966,0.5144395338,-0.857526656,-0.711535677,-0.70264997
2012,8,308,17.337,0.4029064357,0.9152411726,0.9387338577,0.3446429232
2012,9,309,15.93,-0.979855052,-0.199709981,-0.9971589,0.0753268055
2012,10,310,15.216,0.7289686274,-0.684547106,0.87630668,-0.481753674
2012,11,311,14.483,0.1377902907,0.9904614257,-0.597904983,0.8015669849
2012,12,312,14.387,-0.888136449,-0.459579861,0.2120071099,-0.977268124
2013,1,313,15.037,0.8881364488,-0.459579861,0.2120071099,0.9772681236
2013,2,314,14.595,-0.137790291,0.9904614257,-0.597904983,-0.801566985
2013,3,315,16.339,-0.728968627,-0.684547106,0.87630668,0.4817536741
2013,4,316,16.279,0.9798550524,-0.199709981,-0.9971589,-0.075326806
2013,5,317,17.56,-0.402906436,0.9152411726,0.9387338577,-0.344642923
2013,6,318,17.9,-0.514439534,-0.857526656,-0.711535677,0.7026499698
2013,7,319,17.358,0.9971589003,0.0753268055,0.3564118787,-0.934328942
2013,8,320,17.253,-0.63742399,0.7705132428,0.0627905195,0.9980267284
2013,9,321,15.993,-0.260841506,-0.965381639,-0.470703932,-0.882291226
2013,10,322,15.512,0.9387338577,0.3446429232,0.7939903986,0.6079302977
2013,11,323,13.939,-0.823532598,0.5672689491,-0.974526873,-0.224270761
2013,12,324,14.219,0.0125660399,-0.999921044,0.9798550524,-0.199709981
2014,1,325,15.382,0.8090169944,0.5877852523,-0.809016994,0.5877852523
2014,2,326,14.457,-0.947098305,0.3209436098,0.4927273415,-0.870183755
2014,3,327,16.358,0.2850192625,-0.958521789,-0.087851197,0.9961336091
2014,4,328,16.484,0.6178596131,0.7862884321,-0.332819545,-0.942990536
2014,5,329,17.708,-0.998736957,0.0502443182,0.6936533058,0.7203090249
2014,6,330,18.203,0.535826795,-0.844327926,-0.929776486,-0.368124553
2014,7,331,17.673,0.3797790955,0.9250772068,0.9987369566,-0.050244318
2014,8,332,16.366,-0.974526873,-0.224270761,-0.888136449,0.4595798606
2014,9,333,16.66,0.7459411454,-0.666011867,0.6178596131,-0.786288432
2014,10,334,15.489,0.1128563849,0.9936113105,-0.236498997,0.9716317329
2014,11,335,13.565,-0.87630668,-0.481753674,-0.187381315,-0.982287251
2014,12,336,14.501,0.8994052516,-0.437115767,0.5775727034,0.8163392507
2015,1,337,14.58,-0.162637165,0.9866859442,-0.863923417,-0.503623202
2015,2,338,14.326,-0.711535677,-0.70264997,0.994951017,0.1003617149
2015,3,339,16.694,0.9845643345,-0.175023059,-0.947098305,0.3209436098
2015,4,340,16.409,-0.425779292,0.9048270525,0.7289686274,-0.684547106
2015,5,341,17.374,-0.492727342,-0.870183755,-0.379779096,0.9250772068
2015,6,342,18.199,0.994951017,0.1003617149,-0.037690183,-0.999289473
2015,7,343,17.121,-0.656585756,0.7542513807,0.4483832161,0.8938414242
2015,8,344,16.8,-0.236498997,-0.971631733,-0.778462302,-0.627691361
2015,9,345,16.582,0.9297764859,0.3681245527,0.9685831611,0.2486898872
2015,10,346,15.433,-0.83752804,0.5463943467,-0.984564335,0.175023059
2015,11,347,13.419,0.0376901827,-0.999289473,0.8235325976,-0.567268949
2015,12,348,14.225,0.7939903986,0.6079302977,-0.514439534,0.8575266562
2016,1,349,14.539,-0.954864545,0.2970415816,0.1128563849,-0.993611311
2016,2,350,14.488,0.3090169944,-0.951056516,0.3090169944,0.9510565163
2016,3,351,17.2,0.5979049831,0.8015669849,-0.675332808,-0.737513117
2016,4,352,16.499,-0.999684189,0.0251300954,0.9202318474,0.3913736668
2016,5,353,16.982,0.5568756165,-0.830595899,-0.999684189,0.0251300954
2016,6,354,17.993,0.3564118787,0.9343289425,0.8994052516,-0.437115767
2016,7,355,16.981,-0.968583161,-0.248689887,-0.63742399,0.7705132428
2016,8,356,17.004,0.762442511,-0.647055962,0.2608415063,-0.965381639
2016,9,357,15.935,0.0878511966,0.9961336091,0.1626371652,0.9866859442
2016,10,358,14.501,-0.863923417,-0.503623202,-0.556875616,-0.830595899
2016,11,359,13.731,0.9101059707,-0.414375581,0.8509944818,0.52517463
